,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,under,over,over_under_tie_credit,under_result,over_result,to_spread,usd,cred,result,away_dogs_,away_dogs
54,10/10/1999,1999,5,ARI,NYG,ARI,-3.0,37.5,,84.0,6.0,24.0,14.0,3.0,False,False,17.0,-20.5,20.5,8.0,10/10/1999,10/10/1999,6,39.5,35.5,-150,100,0,0,-50,100,-110,0,100,-110,8.0,-110,0,-110,100,100
55,10/10/1999,1999,5,BUF,PIT,BUF,-6.5,38.0,,60.0,8.0,92.0,24.0,21.0,False,False,45.0,7.0,7.0,-3.5,10/10/1999,10/10/1999,6,40.0,36.0,100,-150,0,0,-50,-110,100,0,-110,100,-3.5,100,0,100,-110,-110
57,10/10/1999,1999,5,DET,,DET,-3.5,40.0,,72.0,0.0,,10.0,20.0,False,False,30.0,-10.0,10.0,6.5,10/10/1999,10/10/1999,6,42.0,38.0,-150,100,0,0,-50,100,-110,0,100,-110,-13.5,100,0,100,-110,-110
58,10/10/1999,1999,5,GB,TB,GB,-6.0,40.5,,58.0,10.0,74.0,26.0,23.0,False,False,49.0,8.5,8.5,-3.0,10/10/1999,10/10/1999,6,42.5,38.5,100,-150,0,0,-50,-110,100,0,-110,100,-3.0,100,0,100,-110,-110
60,10/10/1999,1999,5,KC,NE,KC,-2.5,41.0,,65.0,8.0,76.0,16.0,14.0,False,False,30.0,-11.0,11.0,-0.5,10/10/1999,10/10/1999,6,43.0,39.0,-150,100,0,0,-50,100,-110,0,100,-110,-0.5,100,0,100,-110,-110
61,10/10/1999,1999,5,MIN,CHI,MIN,-13.0,43.5,DOME,72.0,0.0,,22.0,24.0,False,False,46.0,2.5,2.5,-11.0,10/10/1999,10/10/1999,6,45.5,41.5,100,-150,0,0,-50,-110,100,0,-110,100,-15.0,100,0,100,-110,-110
62,10/10/1999,1999,5,NO,ATL,NO,-3.0,35.5,DOME,72.0,0.0,,17.0,20.0,False,False,37.0,1.5,1.5,0.0,10/10/1999,10/10/1999,6,37.5,33.5,100,100,0,0,200,-110,100,0,-110,100,-6.0,100,0,100,-110,-110
63,10/10/1999,1999,5,OAK,DEN,OAK,-7.0,38.0,,71.0,10.0,57.0,13.0,16.0,False,False,29.0,-9.0,9.0,-4.0,10/10/1999,10/10/1999,6,40.0,36.0,-150,100,0,0,-50,100,-110,0,100,-110,-10.0,100,0,100,-110,-110
65,10/10/1999,1999,5,TEN,BAL,TEN,-7.0,38.5,,71.0,8.0,83.0,14.0,11.0,False,False,25.0,-13.5,13.5,-4.0,10/10/1999,10/10/1999,6,40.5,36.5,-150,100,0,0,-50,100,-110,0,100,-110,-4.0,100,0,100,-110,-110
69,10/17/1999,1999,6,BUF,OAK,BUF,-3.5,40.5,,58.0,12.0,75.0,14.0,20.0,False,False,34.0,-6.5,6.5,2.5,10/17/1999,10/17/1999,6,42.5,38.5,-150,100,0,0,-50,100,-110,0,100,-110,-9.5,100,0,100,-110,-110
70,10/17/1999,1999,6,CHI,PHI,CHI,-6.5,35.0,,48.0,12.0,67.0,16.0,20.0,False,False,36.0,1.0,1.0,-2.5,10/17/1999,10/17/1999,6,37.0,33.0,100,100,0,0,200,-110,100,0,-110,100,-10.5,100,0,100,-110,-110
