,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,to_spread,usd,cred,result,against_home_dogs,away_Favs
122,11/14/1999,1999,11,CIN,TEN,TEN,-10.0,41.0,,60.0,13.0,65.0,14.0,24.0,False,False,38.0,-3.0,3.0,0.0,11/14/1999,11/14/1999,6,43.0,39.0,-150,100,0,0,-50,0.0,-110,110,0,-110,0
123,11/14/1999,1999,11,DAL,GB,GB,-3.0,38.0,,68.0,7.0,51.0,27.0,13.0,False,False,40.0,2.0,2.0,-11.0,11/14/1999,11/14/1999,6,40.0,36.0,100,-150,0,150,100,-17.0,100,0,100,-110,-110
125,11/14/1999,1999,11,NO,SF,SF,-1.0,38.5,DOME,72.0,0.0,,24.0,6.0,False,False,30.0,-8.5,8.5,-17.0,11/14/1999,11/14/1999,6,40.5,36.5,-150,100,0,0,-50,-19.0,100,0,100,-110,-110
126,11/14/1999,1999,11,NYG,IND,IND,-3.0,41.5,,53.0,12.0,71.0,19.0,27.0,False,False,46.0,4.5,4.5,-5.0,11/14/1999,11/14/1999,6,43.5,39.5,100,-150,0,0,-50,5.0,-110,0,-110,100,100
128,11/14/1999,1999,11,PHI,WAS,WAS,-6.0,42.0,,52.0,9.0,82.0,35.0,28.0,False,False,63.0,21.0,21.0,-1.0,11/14/1999,11/14/1999,6,44.0,40.0,100,-150,0,0,-50,-13.0,100,0,100,-110,-110
133,11/21/1999,1999,12,ARI,DAL,DAL,-1.5,35.0,,62.0,6.0,38.0,13.0,9.0,False,False,22.0,-13.0,13.0,-2.5,11/21/1999,11/21/1999,6,37.0,33.0,-150,100,0,0,-50,-5.5,100,0,100,-110,-110
134,11/21/1999,1999,12,CIN,BAL,BAL,-5.0,34.5,,55.0,7.0,93.0,31.0,34.0,False,False,65.0,30.5,30.5,2.0,11/21/1999,11/21/1999,6,36.5,32.5,100,-150,0,0,-50,-2.0,100,0,100,-110,-110
135,11/21/1999,1999,12,CLE,CAR,CAR,-5.5,35.5,,44.0,4.0,88.0,17.0,31.0,False,False,48.0,12.5,12.5,-8.5,11/21/1999,11/21/1999,6,37.5,33.5,100,-150,0,0,-50,8.5,-110,0,-110,100,100
140,11/21/1999,1999,12,NYJ,BUF,BUF,-2.5,36.0,,58.0,8.0,82.0,17.0,7.0,False,False,24.0,-12.0,12.0,-7.5,11/21/1999,11/21/1999,6,38.0,34.0,-150,100,0,0,-50,-12.5,100,0,100,-110,-110
141,11/21/1999,1999,12,PHI,IND,IND,-7.0,41.0,,59.0,2.0,87.0,17.0,44.0,False,False,61.0,20.0,20.0,-20.0,11/21/1999,11/21/1999,6,43.0,39.0,100,-150,0,0,-50,20.0,-110,0,-110,100,100
142,11/21/1999,1999,12,SF,,LAR,-7.5,47.5,,54.0,13.0,74.0,7.0,23.0,False,False,30.0,-17.5,17.5,-8.5,11/21/1999,11/21/1999,6,49.5,45.5,-150,100,0,0,-50,8.5,-110,0,-110,100,100
149,11/28/1999,1999,13,BAL,JAX,JAX,-7.0,36.5,,46.0,10.0,61.0,23.0,30.0,False,False,53.0,16.5,16.5,0.0,11/28/1999,11/28/1999,6,38.5,34.5,100,-150,0,0,-50,0.0,-110,110,0,-110,0
152,11/28/1999,1999,13,CLE,TEN,TEN,-10.5,35.5,,37.0,10.0,73.0,21.0,33.0,False,False,54.0,18.5,18.5,-1.5,11/28/1999,11/28/1999,6,37.5,33.5,100,-150,0,0,-50,1.5,-110,0,-110,100,100
160,11/29/1999,1999,13,SF,GB,GB,-6.0,40.5,,56.0,7.0,84.0,3.0,20.0,False,False,23.0,-17.5,17.5,-11.0,11/29/1999,11/29/1999,0,42.5,38.5,-150,100,0,0,-50,11.0,-110,0,-110,100,100
164,12/5/1999,1999,14,BAL,TEN,TEN,-3.5,36.5,,52.0,6.0,72.0,41.0,14.0,False,False,55.0,18.5,18.5,-23.5,12/5/1999,12/5/1999,6,38.5,34.5,100,-150,0,0,-50,-30.5,100,0,100,-110,-110
165,12/5/1999,1999,14,CAR,,LAR,-7.0,49.0,,55.0,9.0,72.0,21.0,34.0,False,False,55.0,6.0,6.0,-6.0,12/5/1999,12/5/1999,6,51.0,47.0,100,-150,0,0,-50,6.0,-110,0,-110,100,100
166,12/5/1999,1999,14,CHI,GB,GB,-3.5,39.0,,42.0,14.0,96.0,19.0,35.0,False,False,54.0,15.0,15.0,-12.5,12/5/1999,12/5/1999,6,41.0,37.0,100,-150,0,0,-50,12.5,-110,0,-110,100,100
172,12/5/1999,1999,14,NYG,NYJ,NYJ,-2.5,34.0,,55.0,10.0,81.0,41.0,28.0,False,False,69.0,35.0,35.0,-10.5,12/5/1999,12/5/1999,6,36.0,32.0,100,-150,0,0,-50,-15.5,100,0,100,-110,-110
174,12/6/1999,1999,14,TB,MIN,MIN,-2.5,39.0,,68.0,8.0,86.0,24.0,17.0,False,False,41.0,2.0,2.0,-4.5,12/6/1999,12/6/1999,0,41.0,37.0,100,-150,0,150,100,-9.5,100,0,100,-110,-110
182,12/12/1999,1999,15,NO,,LAR,-10.5,49.0,DOME,72.0,0.0,,14.0,30.0,False,False,44.0,-5.0,5.0,-5.5,12/12/1999,12/12/1999,6,51.0,47.0,-150,100,0,0,-50,5.5,-110,0,-110,100,100
183,12/12/1999,1999,15,NYJ,MIA,MIA,-3.0,37.0,,40.0,16.0,55.0,28.0,20.0,False,False,48.0,11.0,11.0,-5.0,12/12/1999,12/12/1999,6,39.0,35.0,100,-150,0,0,-50,-11.0,100,0,100,-110,-110
185,12/12/1999,1999,15,SF,ATL,ATL,-3.0,41.0,,50.0,4.0,84.0,26.0,7.0,False,False,33.0,-8.0,8.0,-16.0,12/12/1999,12/12/1999,6,43.0,39.0,-150,100,0,0,-50,-22.0,100,0,100,-110,-110
