,Unnamed: 0,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two
44,44,10/3/1999,1999,4,CLE,NE,NE,-12.0,38.0,,56.0,14.0,68.0,7.0,19.0,False,False,26.0,-12.0,12.0,0.0,1999-10-03,10/3/1999,6,40.0,36.0,-150,100,0,0,-50
45,45,10/3/1999,1999,4,DAL,ARI,DAL,-7.0,42.5,,78.0,10.0,54.0,35.0,7.0,False,False,42.0,-0.5,0.5,21.0,1999-10-03,10/3/1999,6,44.5,40.5,100,100,0,0,200
46,46,10/3/1999,1999,4,DEN,NYJ,DEN,-5.5,40.0,,41.0,11.0,75.0,13.0,21.0,False,False,34.0,-6.0,6.0,2.5,1999-10-03,10/3/1999,6,42.0,38.0,-150,100,0,0,-50
47,47,10/3/1999,1999,4,MIN,TB,MIN,-7.0,40.5,DOME,72.0,0.0,,21.0,14.0,False,False,35.0,-5.5,5.5,0.0,1999-10-03,10/3/1999,6,42.5,38.5,-150,100,0,0,-50
48,48,10/3/1999,1999,4,NYG,PHI,NYG,-9.5,35.5,,67.0,12.0,71.0,16.0,15.0,False,False,31.0,-4.5,4.5,-8.5,1999-10-03,10/3/1999,6,37.5,33.5,-150,100,0,0,-50
49,49,10/3/1999,1999,4,PIT,JAX,JAX,-3.0,42.0,,60.0,9.0,66.0,3.0,17.0,False,False,20.0,-22.0,22.0,-11.0,1999-10-03,10/3/1999,6,44.0,40.0,-150,100,0,0,-50
50,50,10/3/1999,1999,4,SF,TEN,SF,-1.5,40.5,,60.0,9.0,78.0,24.0,22.0,False,False,46.0,5.5,5.5,0.5,1999-10-03,10/3/1999,6,42.5,38.5,100,-150,0,0,-50
51,51,10/3/1999,1999,4,SEA,OAK,SEA,-3.5,40.5,DOME,72.0,0.0,,22.0,21.0,False,False,43.0,2.5,2.5,-2.5,1999-10-03,10/3/1999,6,42.5,38.5,100,-150,0,0,-50
52,52,10/3/1999,1999,4,WAS,CAR,WAS,-8.5,45.5,,66.0,8.0,74.0,38.0,36.0,False,False,74.0,28.5,28.5,-6.5,1999-10-03,10/3/1999,6,47.5,43.5,100,-150,0,0,-50
53,53,10/4/1999,1999,4,MIA,BUF,MIA,-4.5,40.5,,82.0,13.0,83.0,18.0,23.0,False,False,41.0,0.5,0.5,0.5,1999-10-04,10/4/1999,0,42.5,38.5,100,100,0,0,200
54,54,10/10/1999,1999,5,ARI,NYG,ARI,-3.0,37.5,,84.0,6.0,24.0,14.0,3.0,False,False,17.0,-20.5,20.5,8.0,1999-10-10,10/10/1999,6,39.5,35.5,-150,100,0,0,-50
55,55,10/10/1999,1999,5,BUF,PIT,BUF,-6.5,38.0,,60.0,8.0,92.0,24.0,21.0,False,False,45.0,7.0,7.0,-3.5,1999-10-10,10/10/1999,6,40.0,36.0,100,-150,0,0,-50
56,56,10/10/1999,1999,5,CLE,CIN,CIN,-3.0,36.0,,62.0,6.0,94.0,17.0,18.0,False,False,35.0,-1.0,1.0,2.0,1999-10-10,10/10/1999,6,38.0,34.0,100,100,0,0,200
57,57,10/10/1999,1999,5,DET,,DET,-3.5,40.0,,72.0,0.0,,10.0,20.0,False,False,30.0,-10.0,10.0,6.5,1999-10-10,10/10/1999,6,42.0,38.0,-150,100,0,0,-50
58,58,10/10/1999,1999,5,GB,TB,GB,-6.0,40.5,,58.0,10.0,74.0,26.0,23.0,False,False,49.0,8.5,8.5,-3.0,1999-10-10,10/10/1999,6,42.5,38.5,100,-150,0,0,-50
59,59,10/10/1999,1999,5,IND,MIA,MIA,-1.5,44.5,DOME,72.0,0.0,,31.0,34.0,False,False,65.0,20.5,20.5,-1.5,1999-10-10,10/10/1999,6,46.5,42.5,100,-150,0,0,-50
60,60,10/10/1999,1999,5,KC,NE,KC,-2.5,41.0,,65.0,8.0,76.0,16.0,14.0,False,False,30.0,-11.0,11.0,-0.5,1999-10-10,10/10/1999,6,43.0,39.0,-150,100,0,0,-50
61,61,10/10/1999,1999,5,MIN,CHI,MIN,-13.0,43.5,DOME,72.0,0.0,,22.0,24.0,False,False,46.0,2.5,2.5,-11.0,1999-10-10,10/10/1999,6,45.5,41.5,100,-150,0,0,-50
62,62,10/10/1999,1999,5,NO,ATL,NO,-3.0,35.5,DOME,72.0,0.0,,17.0,20.0,False,False,37.0,1.5,1.5,0.0,1999-10-10,10/10/1999,6,37.5,33.5,100,100,0,0,200
63,63,10/10/1999,1999,5,OAK,DEN,OAK,-7.0,38.0,,71.0,10.0,57.0,13.0,16.0,False,False,29.0,-9.0,9.0,-4.0,1999-10-10,10/10/1999,6,40.0,36.0,-150,100,0,0,-50
64,64,10/10/1999,1999,5,PHI,DAL,DAL,-9.5,37.0,,64.0,11.0,98.0,13.0,10.0,False,False,23.0,-14.0,14.0,6.5,1999-10-10,10/10/1999,6,39.0,35.0,-150,100,0,0,-50
65,65,10/10/1999,1999,5,TEN,BAL,TEN,-7.0,38.5,,71.0,8.0,83.0,14.0,11.0,False,False,25.0,-13.5,13.5,-4.0,1999-10-10,10/10/1999,6,40.5,36.5,-150,100,0,0,-50
66,66,10/11/1999,1999,5,NYJ,JAX,JAX,-3.0,40.0,,68.0,12.0,67.0,6.0,16.0,False,False,22.0,-18.0,18.0,-7.0,1999-10-11,10/11/1999,0,42.0,38.0,-150,100,0,0,-50
67,67,10/17/1999,1999,6,ARI,WAS,WAS,-3.5,45.5,,74.0,12.0,12.0,10.0,24.0,False,False,34.0,-11.5,11.5,-10.5,1999-10-17,10/17/1999,6,47.5,43.5,-150,100,0,0,-50
68,68,10/17/1999,1999,6,ATL,,LAR,-6.0,45.0,DOME,72.0,0.0,,13.0,41.0,False,False,54.0,9.0,9.0,-22.0,1999-10-17,10/17/1999,6,47.0,43.0,100,-150,0,0,-50
69,69,10/17/1999,1999,6,BUF,OAK,BUF,-3.5,40.5,,58.0,12.0,75.0,14.0,20.0,False,False,34.0,-6.5,6.5,2.5,1999-10-17,10/17/1999,6,42.5,38.5,-150,100,0,0,-50
70,70,10/17/1999,1999,6,CHI,PHI,CHI,-6.5,35.0,,48.0,12.0,67.0,16.0,20.0,False,False,36.0,1.0,1.0,-2.5,1999-10-17,10/17/1999,6,37.0,33.0,100,100,0,0,200
71,71,10/17/1999,1999,6,CIN,PIT,PIT,-5.0,37.5,,58.0,10.0,86.0,3.0,17.0,False,False,20.0,-17.5,17.5,-9.0,1999-10-17,10/17/1999,6,39.5,35.5,-150,100,0,0,-50
72,72,10/17/1999,1999,6,DEN,GB,GB,-3.5,40.0,,32.0,10.0,62.0,31.0,10.0,False,False,41.0,1.0,1.0,-17.5,1999-10-17,10/17/1999,6,42.0,38.0,100,100,0,0,200
73,73,10/17/1999,1999,6,DET,MIN,MIN,-3.5,45.0,DOME,72.0,0.0,,25.0,23.0,False,False,48.0,3.0,3.0,1.5,1999-10-17,10/17/1999,6,47.0,43.0,100,-150,0,0,-50
74,74,10/17/1999,1999,6,JAX,CLE,JAX,-17.5,37.5,,74.0,24.0,83.0,24.0,7.0,False,False,31.0,-6.5,6.5,-0.5,1999-10-17,10/17/1999,6,39.5,35.5,-150,100,0,0,-50
75,75,10/17/1999,1999,6,NE,MIA,NE,-2.5,42.5,,63.0,10.0,81.0,30.0,31.0,False,False,61.0,18.5,18.5,-1.5,1999-10-17,10/17/1999,6,44.5,40.5,100,-150,0,0,-50
76,76,10/17/1999,1999,6,NO,TEN,TEN,-3.0,36.5,DOME,72.0,0.0,,21.0,24.0,False,False,45.0,8.5,8.5,0.0,1999-10-17,10/17/1999,6,38.5,34.5,100,-150,0,0,-50
77,77,10/17/1999,1999,6,NYJ,IND,IND,-2.5,42.5,,64.0,6.0,85.0,13.0,16.0,False,False,29.0,-13.5,13.5,-0.5,1999-10-17,10/17/1999,6,44.5,40.5,-150,100,0,0,-50
78,78,10/17/1999,1999,6,SF,CAR,SF,-5.0,44.0,,70.0,11.0,26.0,29.0,31.0,False,False,60.0,16.0,16.0,-3.0,1999-10-17,10/17/1999,6,46.0,42.0,100,-150,0,0,-50
79,79,10/18/1999,1999,6,NYG,DAL,DAL,-3.0,37.0,,59.0,19.0,71.0,13.0,10.0,False,False,23.0,-14.0,14.0,0.0,1999-10-18,10/18/1999,0,39.0,35.0,-150,100,0,0,-50
